model_type,network_structure,relative_error
PINN,3x30,0.6540954337848603
IA_PINN,3x30,0.12896177465223926
IAW_PINN,3x30,0.30207214615990385
I_PINN,3x30,0.011072533
PINN,5x30,0.21138096735845477
IA_PINN,5x30,0.045237182214732274
IAW_PINN,5x30,0.3680644953626259
I_PINN,5x30,0.006736324
PINN,7x30,0.2847891814143998
IA_PINN,7x30,0.045474913744754354
IAW_PINN,7x30,0.10379402445275496
I_PINN,7x30,0.007620638
PINN,3x50,0.15856236654159184
IA_PINN,3x50,0.042866312323395786
IAW_PINN,3x50,0.013204743722047602
I_PINN,3x50,0.007753132
PINN,5x50,0.10084458114402643
IA_PINN,5x50,0.011530819101714655
IAW_PINN,5x50,0.575750495
I_PINN,5x50,0.006604338
PINN,7x50,0.26833519
IA_PINN,7x50,0.022233680878206947
IAW_PINN,7x50,0.012078518897581532
I_PINN,7x50,0.005263687
PINN,3x70,0.15950062327317976
IA_PINN,3x70,0.015527938
IAW_PINN,3x70,0.011448449
I_PINN,3x70,0.005356145
PINN,5x70,0.14970371107598401
IA_PINN,5x70,0.013218791981665506
IAW_PINN,5x70,0.023824913204995357
I_PINN,5x70,0.003490063
PINN,7x70,0.13274119614536017
IA_PINN,7x70,0.017953542
IAW_PINN,7x70,0.008404627
I_PINN,7x70,0.00429521
PINN,3x90,0.091131804
IA_PINN,3x90,0.014131826622193276
IAW_PINN,3x90,0.009185604
I_PINN,3x90,0.004367021
PINN,5x90,0.13488282640096488
IA_PINN,5x90,0.009858666
IAW_PINN,5x90,0.008275928
I_PINN,5x90,0.003769646
PINN,7x90,0.040972856
IA_PINN,7x90,0.022864608467626023
IAW_PINN,7x90,0.015450012926585033
I_PINN,7x90,0.00372618