model_type,network_structure,relative_error,
PINN,3x30,0.2654554570749963,
IA_PINN,3x30,0.044756972,
IAW_PINN,3x30,0.473985196,
I_PINN,3x30,0.014302928382945392,
PINN,5x30,0.861415779,
IA_PINN,5x30,0.07332682,
IAW_PINN,5x30,5.703207813463248,
I_PINN,5x30,0.011788625,
PINN,7x30,0.14478683282971785,
IA_PINN,7x30,0.1408654713935367,
IAW_PINN,7x30,6.203232718722605,
I_PINN,7x30,0.015329289,
PINN,3x50,0.19228307317518403,
IA_PINN,3x50,0.074583452,
IAW_PINN,3x50,0.040864252,
I_PINN,3x50,0.010123370541018256,
PINN,5x50,0.14204029700411258,
IA_PINN,5x50,0.039463830160550904,
IAW_PINN,5x50,5.825835534117145,
I_PINN,5x50,0.006793014,
PINN,7x50,0.072101323,
IA_PINN,7x50,0.1255583394784968,
IAW_PINN,7x50,0.025680716717948093,
I_PINN,7x50,0.006675814,
PINN,3x70,0.14369600185547587,
IA_PINN,3x70,0.055302702,
IAW_PINN,3x70,0.02028738,
I_PINN,3x70,0.007452075,
PINN,5x70,0.094359004,
IA_PINN,5x70,0.043682568,
IAW_PINN,5x70,0.025798717,
I_PINN,5x70,0.006396753,
PINN,7x70,0.225415884,
IA_PINN,7x70,0.061973101,
IAW_PINN,7x70,0.015734627,
I_PINN,7x70,0.007927109,
PINN,3x90,0.10622970983254716,
IA_PINN,3x90,0.05165721,
IAW_PINN,3x90,0.014518003648574173,
I_PINN,3x90,0.007292569,
PINN,5x90,0.06132699,
IA_PINN,5x90,0.027540873,
IAW_PINN,5x90,0.019974224,
I_PINN,5x90,0.009418401,
PINN,7x90,0.14619742241743452,
IA_PINN,7x90,0.067603859,
IAW_PINN,7x90,0.012587727752726175,
I_PINN,7x90,0.009000492,